Id,SalePrice
1414,300791.62
1415,182220.5
1416,206937.69
1417,116264.29
1418,309793.4
1419,136593.11
1420,228644.33
1421,136287.23
1422,135215.92
1423,139583.53
1424,199884.94
1425,122704.35
1426,170527.45
1427,251024.55
1428,105778.21
1429,105306.68
1430,167706.8
1431,171030.22
1432,134520.61
1433,94034.695
1434,186550.11
1435,153287.62
1436,214724.23
1437,116860.25
1438,347344.56
1439,126864.26
1440,166363.03
1441,223954.27
1442,140071.44
1443,238387.45
1444,120603.68
1445,209613.69
1446,118731.25
1447,136967.4
1448,296296.4
1449,108911.05
1450,
1451,
1452,258999.89
1453,131488.64
1454,
1455,170437.17
1456,179697.27
1457,198181.84
1458,238973.23
1459,115588.61
1460,149673.16
